original_title,is_tech,category,skills
Medior Java Developer,True,IT/Software,"['Java', 'Spring Boot', 'Agile']"
StudentsUP!,True,IT/Software,"['Java', 'StudentsUP']"
Summer Development Academy BRATISLAVA,True,IT/Software,"['Java', 'Kotlin', 'Spring Boot']"
Senior QA Automation Engineer,True,IT/Software,"['Java', 'QA Automation', 'Selenium']"
"Backend Developer (Java, Kotlin, Spring Boot)",True,IT/Software,"['Java', 'Kotlin', 'Spring Boot']"
pracovné ponuky e-mailom: za 2 týždne,False,IT/Software,[]
Passionate About Quality? Become Our Software Test Engineer,False,IT/Software,"['Java', 'QA Automation']"
Developer - Data Engineer Internship in Data Science,True,IT/Software,"['Java', 'Python', 'Data Science']"
IT Specialist / Developer – Startup Projects (Junior/Student),True,IT/Software,"['Java', 'Kotlin', 'Spring Boot']"
DevOps Engineer,True,IT/Software,"['Java', 'Docker', 'Kubernetes']"
Python / Automation Developer Intern (Part-time),True,IT/Software,"['Python', 'Automation']"
"Software Engineer, SourceFirst International s.r.o.",True,IT/Software,"['Java', 'Spring Boot']"
Full Stack Developer - AI Solutions,True,IT/Software,"['Java', 'Spring Boot', 'AI']"
Software Engineer in Test (f/m/d),True,IT/Software,"['Java', 'QA Automation']"
Senior Java Developer,True,IT/Software,"['Java', 'Spring Boot', 'Agile']"
Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Senior Software Engineer MES,True,IT/Software,"['Java', 'Spring Boot']"
Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Senior Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Full-stack (NET/Angular) Senior Developer,True,IT/Software,"['Java', 'Spring Boot', 'NET', 'Angular']"
Software Engineer in Test (f/m/d),True,IT/Software,"['Java', 'QA Automation']"
Deployer / Junior Software Deployment Manager,True,IT/Software,"['Java', 'Spring Boot']"
Full-stack (NET/Angular) Senior Developer,True,IT/Software,"['Java', 'Spring Boot', 'NET', 'Angular']"
Senior Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Senior Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Senior Java Developer,True,IT/Software,"['Java', 'Spring Boot']"
Trainee- Transport Network Automation Developer,False,IT/Software,['Transport Network Automation']
Senior Software Developer,True,IT/Software,"['Software Development', 'Java', 'Angular', 'JavaScript', 'Python', 'Go']"
"User Interface Designer / Visual Designer (f/m/d) for Shui®, our Healthineers Design System",True,IT/Software,"['UI/UX Design', 'Visual Design', 'Design System', 'Shui®']"
"AI Engineer, Firma: Profinit Slovakia, s.r.o. (člen skupiny Profinit)",True,IT/Software,"['AI', 'Machine Learning', 'Deep Learning', 'R&D']"
"Senior Frontend Engineer, Firma: BTCS Slovakia s. r. o.",True,IT/Software,"['Frontend Development', 'JavaScript', 'Angular', 'React']"
Chatbot Developer (JavaScript/Python/Go),True,IT/Software,"['JavaScript', 'Python', 'Go', 'Chatbots']"
"AI Engineer (R&D), Firma: SourceFirst International s. r.o.",True,IT/Software,"['AI', 'Machine Learning', 'Deep Learning', 'R&D']"
"Senior Developer for Healthcare/MedTech Products, Firma: Siemens Slovensko",True,IT/Software,"['Healthcare', 'MedTech', 'Software Development', 'Java']"
"DevOps Engineer Professional, Firma: RecruLab s. r.o.",True,IT/Software,"['DevOps', 'Continuous Integration/Continuous Delivery', 'Cloud Computing']"
"Senior Software Solution Designer with German Language, Firma: Deutsche Telekom IT Solutions Slovakia",True,IT/Software,"['Software Design', 'Solution Design', 'German Language']"
"Senior Fullstack Engineer - Java and Angular, Firma: Caterpillar Slovakia, s. r. o.",True,IT/Software,"['Java', 'Angular', 'Frontend Development']"
"Software Engineer node.js, Firma: Pro HR",True,IT/Software,"['Node.js', 'JavaScript', 'Frontend Development']"
"Senior React Native Software Engineer in a new team!, Firma: localhost s. r. o.",True,IT/Software,"['React Native', 'JavaScript', 'Frontend Development']"
"Senior Angular SW Engineer Wanted Now, Firma: localhost s. r. o.",True,IT/Software,"['Angular', 'Frontend Development']"
"Senior DevOps Engineer, Firma: BTCS Slovakia s. r. o.",True,IT/Software,"['DevOps', 'Continuous Integration/Continuous Delivery', 'Cloud Computing']"
